Feature,Info. gain,Gain ratio,Gini
P:QT,0.100,0.051,0.030
After dinner,0.096,0.054,0.024
N:QL,0.089,0.046,0.022
Hobbies,0.083,0.042,0.022
Cleaning,0.076,0.040,0.021
Caffeine,0.080,0.054,0.020
N:QT,0.074,0.038,0.020
CD:S,0.067,0.039,0.017
Internet,0.064,0.032,0.017
Wasted,0.065,0.033,0.017
Entertainment,0.065,0.035,0.016
Fun,0.053,0.027,0.014
Mood,0.051,0.035,0.014
Food,0.052,0.026,0.013
Work,0.054,0.029,0.013
Lunch,0.056,0.036,0.013
Social,0.043,0.026,0.012
Sleep,0.042,0.021,0.012
P:QL,0.043,0.022,0.012
Tasks,0.040,0.025,0.011
Lunch-dinner,0.042,0.027,0.010
